net,length_um
_1197_,11.46µm
net230,11.46µm
_0927_,11.44µm
X_crt\[15\],11.42µm
_0853_,11.42µm
_1418_,11.42µm
_1216_,11.38µm
_1412_,11.37µm
_0177_,11.36µm
_0434_,11.36µm
_1583_,11.36µm
_0388_,11.34µm
_1175_,11.34µm
_0163_,11.33µm
_1041_,11.32µm
_1477_,11.32µm
X_crt\[12\],11.28µm
_0737_,11.28µm
_1308_,11.28µm
_1232_,11.26µm
_1490_,11.26µm
net70,11.26µm
_0128_,11.24µm
_0518_,11.24µm
_0598_,11.24µm
_1046_,11.24µm
_0962_,11.2µm
_1399_,11.2µm
_1475_,11.2µm
_0652_,11.18µm
_0992_,11.16µm
_1298_,11.14µm
net19,11.1µm
net152,11.08µm
_0162_,11.04µm
_0711_,11.04µm
_0963_,11.04µm
_0448_,11.02µm
_0262_,11µm
_0482_,11µm
net232,11µm
_0397_,10.98µm
_1116_,10.96µm
_0449_,10.92µm
_1400_,10.92µm
_0730_,10.88µm
_1052_,10.88µm
_1511_,10.88µm
_0555_,10.86µm
_1596_,10.86µm
_0590_,10.84µm
_1283_,10.84µm
_1066_,10.82µm
_1145_,10.8µm
_0396_,10.78µm
_0406_,10.78µm
_1236_,10.78µm
net92,10.76µm
_1150_,10.74µm
_1489_,10.74µm
_0609_,10.7µm
_1109_,10.66µm
net239,10.64µm
_1535_,10.62µm
_1268_,10.6µm
_1087_,10.58µm
_0272_,10.56µm
net175,10.56µm
_0121_,10.54µm
_0508_,10.52µm
_1280_,10.52µm
_0659_,10.5µm
_0879_,10.5µm
_0347_,10.46µm
_0087_,10.44µm
net48,10.44µm
_0485_,10.42µm
_0557_,10.42µm
_0632_,10.41µm
_0602_,10.38µm
_1070_,10.38µm
net235,10.38µm
_0636_,10.36µm
_0928_,10.36µm
_0940_,10.36µm
_0548_,10.34µm
_0591_,10.34µm
_1014_,10.32µm
net25,10.32µm
_1094_,10.3µm
_1301_,10.28µm
_1181_,10.26µm
_1560_,10.26µm
_0818_,10.245µm
_0917_,10.24µm
_1277_,10.24µm
net123,10.24µm
_0517_,10.2µm
net24,10.2µm
net176,10.2µm
_0759_,10.18µm
_1557_,10.18µm
_0647_,10.135µm
_0576_,10.08µm
_0642_,10.08µm
_0716_,10.08µm
net102,10.04µm
_1152_,10µm
_0183_,9.98µm
_0146_,9.94µm
_0412_,9.94µm
_1435_,9.94µm
_0857_,9.92µm
_1080_,9.92µm
